,liq_100,liq_101
946,20.0,13.0
947,19.0,15.0
948,17.0,15.0
949,16.0,13.0
950,14.0,11.0
951,11.0,9.0
952,9.0,7.0
953,5.0,6.0
954,4.0,5.0
955,5.0,5.0
956,6.0,6.0
957,9.0,6.0
958,10.0,9.0
959,10.0,10.0
960,11.0,10.0
961,12.0,10.0
962,14.0,11.0
963,15.0,11.0
964,15.0,12.0
965,17.0,12.0
966,18.0,12.0
967,14.0,7.0
968,13.0,7.0
969,12.0,8.0
970,13.0,7.0
971,12.0,6.0
972,15.0,5.0
973,18.0,4.0
974,17.0,3.0
975,15.0,3.0
976,10.0,4.0
977,8.0,3.0
978,7.0,3.0
979,7.0,5.0
980,7.0,9.0
981,8.0,12.0
982,8.0,12.0
983,11.0,12.0
984,11.0,13.0
985,13.0,13.0
986,13.0,16.0
987,13.0,17.0
988,13.0,18.0
989,15.0,20.0
990,15.0,20.0
991,9.0,15.0
992,8.0,14.0
993,13.0,12.0
994,13.0,14.0
995,12.0,13.0
996,9.0,13.0
997,6.0,13.0
998,5.0,11.0
999,3.0,9.0
1000,4.0,5.0
1001,6.0,3.0
1002,7.0,2.0
1003,7.0,2.0
1004,12.0,3.0
1005,13.0,3.0
1006,14.0,4.0
1007,14.0,5.0
1008,14.0,6.0
1009,14.0,6.0
1010,16.0,8.0
1011,16.0,9.0
1012,17.0,12.0
1013,19.0,12.0
1014,19.0,13.0
1015,14.0,12.0
1016,11.0,10.0
1017,9.0,9.0
1018,6.0,8.0
1019,6.0,7.0
1020,7.0,7.0
1021,5.0,7.0
1022,6.0,6.0
1023,7.0,7.0
1024,7.0,5.0
1025,4.0,2.0
1026,3.0,1.0
1027,4.0,4.0
1028,5.0,4.0
1029,6.0,4.0
1030,7.0,4.0
1031,7.0,4.0
1032,8.0,4.0
1033,9.0,5.0
1034,11.0,5.0
1035,11.0,5.0
1036,11.0,6.0
1037,11.0,8.0
1038,12.0,8.0
1039,13.0,8.0
1040,11.0,6.0
1041,10.0,5.0
1042,10.0,6.0
1043,9.0,6.0
1044,5.0,3.0
1045,3.0,1.0
1046,3.0,3.0
1047,4.0,3.0
1048,5.0,2.0
1049,5.0,1.0
1050,3.0,0.0
1051,3.0,2.0
1052,3.0,2.0
1053,4.0,2.0
1054,4.0,2.0
1055,7.0,3.0
1056,8.0,4.0
1057,9.0,4.0
1058,10.0,5.0
1059,12.0,5.0
1060,13.0,6.0
1061,14.0,8.0
1062,15.0,8.0
1063,13.0,5.0
1064,13.0,10.0
1065,11.0,11.0
1066,9.0,7.0
1067,7.0,6.0
1068,4.0,3.0
1069,3.0,2.0
1070,1.0,1.0
1071,2.0,1.0
1072,3.0,1.0
1073,2.0,2.0
1074,1.0,3.0
1075,1.0,3.0
1076,2.0,5.0
1077,5.0,6.0
1078,5.0,7.0
1079,5.0,8.0
1080,8.0,8.0
1081,8.0,8.0
1082,9.0,11.0
1083,9.0,11.0
1084,10.0,13.0
1085,11.0,14.0
1086,11.0,17.0
1087,6.0,13.0
1088,3.0,12.0
1089,5.0,12.0
1090,6.0,11.0
1091,9.0,11.0
1092,7.0,6.0
1093,8.0,3.0
1094,6.0,3.0
1095,6.0,2.0
1096,2.0,0.0
1097,2.0,2.0
1098,1.0,2.0
1099,4.0,5.0
1100,5.0,6.0
1101,6.0,6.0
1102,8.0,7.0
1103,8.0,7.0
1104,9.0,9.0
1105,10.0,10.0
1106,11.0,10.0
1107,12.0,11.0
1108,13.0,12.0
1109,17.0,12.0
1110,20.0,12.0
1111,19.0,7.0
1112,15.0,7.0
1113,14.0,7.0
1114,15.0,7.0
1115,15.0,5.0
1116,15.0,5.0
1117,13.0,4.0
1118,12.0,3.0
1119,11.0,2.0
1120,11.0,2.0
1121,10.0,3.0
1122,7.0,5.0
1123,8.0,6.0
1124,10.0,7.0
1125,10.0,10.0
1126,11.0,12.0
1127,12.0,16.0
1128,12.0,17.0
1129,13.0,17.0
1130,14.0,21.0
1131,15.0,22.0
1132,15.0,24.0
1133,15.0,25.0
1134,15.0,27.0
1135,11.0,22.0
1136,11.0,22.0
1137,8.0,21.0
1138,5.0,22.0
1139,4.0,21.0
1140,5.0,18.0
1141,5.0,16.0
1142,6.0,11.0
1143,6.0,10.0
1144,5.0,10.0
1145,4.0,10.0
1146,5.0,8.0
1147,7.0,8.0
1148,8.0,8.0
1149,9.0,9.0
1150,10.0,10.0
1151,10.0,12.0
1152,11.0,13.0
1153,13.0,14.0
1154,16.0,16.0
1155,18.0,17.0
1156,21.0,19.0
1157,23.0,19.0
1158,25.0,21.0
1159,22.0,20.0
1160,21.0,15.0
1161,21.0,14.0
1162,20.0,16.0
1163,18.0,16.0
1164,19.0,14.0
1165,20.0,14.0
1166,20.0,13.0
1167,18.0,15.0
1168,17.0,15.0
1169,14.0,14.0
1170,11.0,15.0
1171,12.0,15.0
1172,12.0,16.0
1173,16.0,17.0
1174,18.0,18.0
1175,20.0,20.0
1176,21.0,21.0
1177,22.0,23.0
1178,23.0,24.0
1179,23.0,24.0
1180,24.0,25.0
1181,24.0,29.0
1182,24.0,29.0
1183,18.0,24.0
1184,14.0,20.0
1185,15.0,17.0
1186,16.0,13.0
1187,14.0,11.0
1188,13.0,11.0
1189,11.0,12.0
1190,10.0,11.0
1191,10.0,11.0
1192,10.0,10.0
1193,7.0,9.0
1194,6.0,6.0
1195,6.0,6.0
1196,8.0,6.0
1197,8.0,10.0
1198,8.0,11.0
1199,8.0,12.0
1200,11.0,12.0
1201,11.0,13.0
1202,12.0,13.0
1203,13.0,14.0
1204,14.0,15.0
1205,17.0,16.0
1206,17.0,17.0
1207,15.0,17.0
1208,14.0,15.0
1209,12.0,13.0
1210,10.0,12.0
1211,12.0,11.0
1212,12.0,12.0
1213,15.0,12.0
1214,14.0,10.0
1215,12.0,10.0
1216,11.0,9.0
1217,11.0,9.0
1218,10.0,10.0
1219,10.0,11.0
1220,12.0,13.0
1221,14.0,13.0
1222,14.0,15.0
1223,14.0,15.0
1224,14.0,16.0
1225,14.0,16.0
1226,14.0,16.0
1227,17.0,17.0
1228,17.0,18.0
1229,18.0,20.0
1230,20.0,21.0
1231,14.0,17.0
1232,13.0,15.0
1233,10.0,12.0
1234,10.0,10.0
1235,7.0,8.0
1236,8.0,10.0
1237,7.0,8.0
1238,4.0,8.0
1239,2.0,8.0
1240,3.0,6.0
1241,5.0,3.0
1242,4.0,3.0
1243,5.0,4.0
1244,6.0,5.0
1245,6.0,6.0
1246,6.0,7.0
1247,8.0,7.0
1248,8.0,8.0
1249,10.0,10.0
1250,13.0,12.0
1251,13.0,12.0
1252,15.0,13.0
1253,15.0,14.0
1254,16.0,15.0
1255,11.0,11.0
1256,9.0,11.0
1257,7.0,12.0
1258,4.0,8.0
1259,2.0,9.0
1260,0.0,8.0
1261,1.0,7.0
