,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
1710,21.0,,27.0,,24.0,3.0
1714,6.0,,,,6.0,0.0
1716,23.0,,,,23.0,0.0
1717,21.0,,,,21.0,0.0
1718,42.0,,19.0,,30.5,11.5
1742,26.0,,,,26.0,0.0
1753,29.0,,4.0,,16.5,12.5
1765,8.0,,,,8.0,0.0
1770,31.0,,,4.0,17.5,13.5
1774,28.0,29.0,,,28.5,0.5
1778,43.0,,,,43.0,0.0
1780,20.0,,,,20.0,0.0
1790,4.0,,,4.0,4.0,0.0
1815,20.0,,,,20.0,0.0
1823,24.0,26.0,,,25.0,1.0
1839,8.0,30.0,7.0,,15.0,10.614455552060438
1848,29.0,,,,29.0,0.0
1849,4.0,21.0,,,12.5,8.5
1851,6.0,,,,6.0,0.0
1855,23.0,,,7.0,15.0,8.0
1858,21.0,,,,21.0,0.0
1861,24.0,,,29.0,26.5,2.5
1874,30.0,,,,30.0,0.0
1883,4.0,7.0,,,5.5,1.5
1886,4.0,,,,4.0,0.0
1892,29.0,,,,29.0,0.0
1893,4.0,,20.0,,12.0,8.0
1905,21.0,,49.0,,35.0,14.0
1916,27.0,,,,27.0,0.0
1921,23.0,,,,23.0,0.0
1922,26.0,,26.0,,26.0,0.0
1933,4.0,,,,4.0,0.0
1934,6.0,,,,6.0,0.0
1937,26.0,,,,26.0,0.0
1943,21.0,,,,21.0,0.0
1947,42.0,20.0,,,31.0,11.0
1951,6.0,,,,6.0,0.0
1955,7.0,,4.0,,5.5,1.5
1956,29.0,,,,29.0,0.0
1972,29.0,,,,29.0,0.0
1975,4.0,,,,4.0,0.0
1978,21.0,30.0,,,25.5,4.5
1980,20.0,,6.0,,13.0,7.0
1981,41.0,,,7.0,24.0,17.0
1984,31.0,,,,31.0,0.0
1986,30.0,,,,30.0,0.0
1990,7.0,,,,7.0,0.0
1992,4.0,7.0,,,5.5,1.5
1995,26.0,,,25.0,25.5,0.5
1997,21.0,,,19.0,20.0,1.0
2003,21.0,,,,21.0,0.0
2004,21.0,21.0,,,21.0,0.0
2008,19.0,,,,19.0,0.0
2015,17.0,41.0,21.0,22.0,25.25,9.283722313813572
2031,4.0,,,,4.0,0.0
2047,42.0,,,,42.0,0.0
2057,24.0,,,,24.0,0.0
2073,21.0,,18.0,8.0,15.666666666666666,5.557777333511022
2084,6.0,,,,6.0,0.0
2090,20.0,,,,20.0,0.0
2104,19.0,42.0,20.0,,27.0,10.614455552060438
2108,17.0,,30.0,30.0,25.666666666666668,6.128258770283412
2110,5.0,,,,5.0,0.0
2111,30.0,,,,30.0,0.0
2116,4.0,,4.0,,4.0,0.0
2121,28.0,17.0,,,22.5,5.5
2130,41.0,,,,41.0,0.0
2139,4.0,,,,4.0,0.0
2158,8.0,,,,8.0,0.0
2161,22.0,,,,22.0,0.0
2166,43.0,,,,43.0,0.0
2167,22.0,,,,22.0,0.0
2169,20.0,19.0,,,19.5,0.5
2172,21.0,,,21.0,21.0,0.0
2173,19.0,19.0,,,19.0,0.0
2185,23.0,,29.0,,26.0,3.0
2193,21.0,,,20.0,20.5,0.5
2194,20.0,29.0,,,24.5,4.5
