,db_100,db_101,db_102,db_103
325,4.0,3.0,1.0,1.0
326,4.0,4.0,3.0,0.0
327,4.0,4.0,3.0,0.0
328,2.0,3.0,3.0,0.0
329,1.0,2.0,3.0,0.0
330,1.0,1.0,2.0,0.0
331,1.0,1.0,2.0,0.0
332,1.0,1.0,2.0,0.0
333,1.0,1.0,3.0,0.0
334,2.0,1.0,3.0,0.0
335,2.0,1.0,3.0,0.0
336,2.0,1.0,3.0,0.0
337,2.0,2.0,3.0,1.0
338,2.0,2.0,3.0,2.0
339,3.0,2.0,3.0,2.0
340,3.0,2.0,3.0,2.0
341,3.0,3.0,4.0,3.0
342,3.0,3.0,4.0,3.0
343,2.0,2.0,3.0,3.0
344,1.0,3.0,1.0,4.0
345,1.0,4.0,2.0,4.0
346,1.0,3.0,2.0,4.0
347,1.0,3.0,2.0,3.0
348,1.0,2.0,3.0,2.0
349,1.0,1.0,3.0,1.0
350,0.0,1.0,2.0,1.0
351,0.0,1.0,1.0,2.0
352,0.0,0.0,0.0,3.0
353,0.0,0.0,0.0,2.0
354,0.0,1.0,1.0,2.0
355,0.0,1.0,1.0,2.0
356,1.0,1.0,1.0,2.0
357,1.0,1.0,1.0,2.0
358,1.0,2.0,2.0,2.0
359,1.0,2.0,2.0,2.0
360,1.0,3.0,2.0,2.0
361,1.0,4.0,2.0,2.0
362,1.0,4.0,2.0,2.0
363,2.0,4.0,2.0,2.0
364,2.0,4.0,2.0,2.0
365,2.0,4.0,2.0,2.0
366,2.0,5.0,3.0,2.0
367,2.0,5.0,3.0,1.0
368,2.0,5.0,2.0,0.0
369,1.0,5.0,3.0,0.0
370,1.0,4.0,2.0,0.0
371,2.0,3.0,1.0,0.0
372,1.0,1.0,2.0,0.0
373,0.0,1.0,2.0,0.0
374,0.0,1.0,1.0,0.0
375,1.0,0.0,1.0,0.0
376,2.0,0.0,0.0,1.0
377,1.0,0.0,1.0,1.0
378,0.0,0.0,1.0,1.0
379,0.0,0.0,1.0,1.0
380,2.0,0.0,1.0,1.0
381,2.0,0.0,1.0,1.0
382,2.0,0.0,1.0,1.0
383,2.0,0.0,1.0,1.0
384,2.0,0.0,2.0,1.0
385,3.0,0.0,4.0,2.0
386,3.0,0.0,4.0,2.0
387,3.0,0.0,4.0,2.0
388,3.0,0.0,4.0,3.0
389,5.0,0.0,4.0,3.0
390,6.0,0.0,4.0,4.0
391,6.0,0.0,3.0,3.0
392,6.0,1.0,3.0,3.0
393,5.0,1.0,3.0,3.0
394,5.0,0.0,3.0,3.0
395,4.0,0.0,3.0,3.0
396,4.0,1.0,1.0,2.0
397,4.0,1.0,0.0,2.0
398,4.0,1.0,0.0,2.0
399,3.0,1.0,0.0,1.0
400,2.0,1.0,0.0,2.0
401,1.0,1.0,0.0,1.0
402,0.0,0.0,1.0,1.0
403,0.0,0.0,1.0,1.0
404,0.0,1.0,1.0,1.0
405,0.0,1.0,1.0,1.0
406,0.0,2.0,1.0,1.0
407,1.0,2.0,1.0,2.0
408,1.0,2.0,2.0,2.0
409,1.0,2.0,2.0,2.0
410,1.0,2.0,2.0,2.0
411,1.0,2.0,2.0,3.0
412,1.0,2.0,2.0,3.0
413,1.0,2.0,2.0,3.0
414,1.0,2.0,2.0,4.0
415,1.0,2.0,2.0,2.0
416,1.0,1.0,2.0,2.0
417,1.0,0.0,2.0,3.0
418,1.0,0.0,2.0,2.0
419,0.0,0.0,1.0,3.0
420,0.0,0.0,1.0,2.0
421,1.0,0.0,1.0,2.0
422,1.0,0.0,1.0,1.0
423,0.0,1.0,3.0,0.0
424,0.0,1.0,2.0,0.0
425,0.0,1.0,2.0,0.0
426,0.0,0.0,0.0,0.0
427,0.0,0.0,0.0,0.0
428,0.0,0.0,0.0,0.0
429,0.0,0.0,1.0,0.0
