,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
2770,9.38,7.98,,,8.68,0.7000000000000002
2771,0.0,,1.12,,0.56,0.56
2775,1.0,,13.0,,7.0,6.0
2791,11.0,,,,11.0,0.0
2793,11.0,,,,11.0,0.0
2795,9.31,,25.43,,17.37,8.06
2800,0.0,,,,0.0,0.0
2806,0.0,,,,0.0,0.0
2818,9.0,,,13.0,11.0,2.0
2831,0.0,,,,0.0,0.0
2835,0.0,,,,0.0,0.0
2847,6.0,,,,6.0,0.0
2855,0.0,,,,0.0,0.0
2856,0.0,,15.23,,7.615,7.615
2859,0.0,,,10.0,5.0,5.0
2862,0.0,10.33,,,5.165,5.165
2874,9.0,0.0,,,4.5,4.5
2902,0.0,,,,0.0,0.0
2904,0.0,,,26.27,13.135,13.135
2911,11.0,,,,11.0,0.0
2950,0.0,12.0,,11.0,7.666666666666667,5.436502143433364
2955,12.0,,,,12.0,0.0
2961,11.41,,,,11.41,0.0
2962,10.48,,,,10.48,0.0
2968,8.24,11.0,5.81,10.0,8.7625,1.9702839262400738
2971,0.0,,,,0.0,0.0
2975,0.0,,,,0.0,0.0
2980,11.0,,1.0,,6.0,5.0
2982,10.0,,14.0,,12.0,2.0
2994,8.73,,,,8.73,0.0
2997,5.99,,,0.0,2.995,2.995
3001,1.0,,,,1.0,0.0
3007,1.0,,1.0,,1.0,0.0
3013,10.0,,,,10.0,0.0
3015,9.0,,,,9.0,0.0
3023,10.33,,,,10.33,0.0
3025,9.39,,,,9.39,0.0
3029,0.0,,,,0.0,0.0
3031,0.0,,,,0.0,0.0
3038,0.0,,,,0.0,0.0
3041,0.0,,,,0.0,0.0
3053,8.24,,,1.0,4.62,3.62
3062,0.0,,,,0.0,0.0
3075,10.0,,,,10.0,0.0
3082,7.0,,,1.0,4.0,3.0
3086,9.18,,7.0,,8.09,1.0899999999999999
3091,0.0,,,,0.0,0.0
3093,0.0,,,,0.0,0.0
3100,15.0,,,,15.0,0.0
3101,2.0,7.0,,,4.5,2.5
3126,21.79,,,4.0,12.895,8.895
3130,1.0,,,6.64,3.82,2.82
3140,0.0,,,,0.0,0.0
3144,13.0,,4.8,,8.9,4.1000000000000005
3156,11.52,,10.0,,10.76,0.7599999999999998
3157,11.08,,,,11.08,0.0
3174,0.0,,,,0.0,0.0
3178,0.0,,,,0.0,0.0
3198,2.0,8.97,6.0,11.5,7.1175,3.5382084096333277
3203,0.0,,,,0.0,0.0
3205,0.0,,,24.54,12.27,12.269999999999998
3206,13.0,22.18,,,17.59,4.59
3211,11.0,,,,11.0,0.0
3213,10.0,,,,10.0,0.0
3225,12.91,,,,12.91,0.0
3230,23.71,,,22.14,22.925,0.7850000000000001
3240,1.0,,0.0,,0.5,0.5
3247,0.0,,,,0.0,0.0
3251,10.47,,,,10.47,0.0
3253,12.17,,,,12.17,0.0
3255,10.93,,,,10.93,0.0
3264,0.0,,,,0.0,0.0
3265,1.0,,,0.0,0.5,0.5
3266,0.0,1.0,0.0,,0.3333333333333333,0.4714045207910317
3271,12.0,,,11.0,11.5,0.5
3279,8.0,,,,8.0,0.0
3282,9.99,10.0,,6.45,8.813333333333334,1.6711340128454355
3296,1.0,,,,1.0,0.0
3304,0.0,,,,0.0,0.0
3311,8.0,,11.0,,9.5,1.5
3313,8.25,,,,8.25,0.0
3346,10.05,,,,10.05,0.0
3353,1.0,7.02,,,4.01,3.01
3355,0.0,,,12.0,6.0,6.0
3369,8.49,11.0,0.0,,6.496666666666667,4.706735126980863
3372,10.27,,3.0,,6.635,3.635
3373,9.92,,,13.0,11.46,1.54
3376,8.79,,,,8.79,0.0
3383,3.0,,,,3.0,0.0
3401,10.0,,,,10.0,0.0
3411,2.0,,,,2.0,0.0
3422,10.0,0.0,,,5.0,5.0
