,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
3085,7.32,,,,7.32,0.0
3092,0.0,,,,0.0,0.0
3127,21.75,0.0,,,10.875,10.875
3134,0.0,,,,0.0,0.0
3139,0.0,,,,0.0,0.0
3149,0.0,,,,0.0,0.0
3160,11.31,,,13.19,12.25,0.9399999999999995
3169,1.0,,,,1.0,0.0
3197,2.0,,,11.54,6.77,4.77
3199,0.0,,,,0.0,0.0
3218,12.71,,,1.0,6.855,5.855
3219,10.01,,,,10.01,0.0
3221,11.51,,,,11.51,0.0
3224,11.7,,,,11.7,0.0
3237,0.0,,,1.0,0.5,0.5
3244,0.0,,,,0.0,0.0
3245,0.0,,,,0.0,0.0
3256,10.1,,,,10.1,0.0
3291,23.96,,,,23.96,0.0
3303,1.0,,,0.0,0.5,0.5
3312,8.0,,,,8.0,0.0
3322,0.0,,,0.0,0.0,0.0
3335,7.0,0.0,,9.0,5.333333333333333,3.8586123009300755
3336,6.0,,,,6.0,0.0
3337,0.0,,,,0.0,0.0
3342,7.93,,,,7.93,0.0
3358,1.0,,,,1.0,0.0
3362,11.0,,,5.0,8.0,3.0
3385,0.0,,,,0.0,0.0
3406,6.82,8.11,,,7.465,0.6449999999999996
3407,7.54,,,,7.54,0.0
3424,8.0,,8.64,,8.32,0.3200000000000003
3426,8.05,,,,8.05,0.0
3433,2.0,,,,2.0,0.0
3441,0.0,,,,0.0,0.0
3470,11.0,,,,11.0,0.0
3477,9.0,,,,9.0,0.0
3485,10.98,8.73,,,9.855,1.125
3486,12.28,,,,12.28,0.0
3523,0.0,,,,0.0,0.0
3528,15.0,,,0.0,7.5,7.5
3557,0.0,,,,0.0,0.0
3562,11.0,,0.0,,5.5,5.5
3563,13.0,,,,13.0,0.0
3581,1.0,,,,1.0,0.0
3611,0.0,,,,0.0,0.0
3621,0.0,,,,0.0,0.0
3639,0.0,,,0.0,0.0,0.0
3677,0.0,,,,0.0,0.0
3689,6.97,,,,6.97,0.0
3693,8.79,,,,8.79,0.0
3696,9.48,,,,9.48,0.0
3717,8.11,0.0,,,4.055,4.055
3720,8.3,0.0,,,4.15,4.15
3722,7.98,,,,7.98,0.0
3739,0.0,,,,0.0,0.0
3749,0.0,,,12.69,6.345,6.345
3756,7.69,,,,7.69,0.0
3759,10.03,,,22.0,16.015,5.985
3761,7.7,,,0.0,3.85,3.85
3767,0.0,11.0,,,5.5,5.5
3772,1.0,,,,1.0,0.0
3786,0.0,,,0.0,0.0,0.0
3787,0.0,,,,0.0,0.0
3789,7.11,,,,7.11,0.0
3794,1.0,,,,1.0,0.0
3799,1.0,,,,1.0,0.0
3802,0.0,,,,0.0,0.0
3835,0.0,,,,0.0,0.0
3836,0.0,,,,0.0,0.0
3852,7.65,,,,7.65,0.0
3854,6.12,,,,6.12,0.0
3856,6.59,,,,6.59,0.0
3873,8.0,,,,8.0,0.0
3879,0.0,,,,0.0,0.0
3890,9.25,,,,9.25,0.0
3906,1.0,,,,1.0,0.0
3922,9.55,,,,9.55,0.0
3935,0.0,,,,0.0,0.0
3938,13.0,,11.0,,12.0,1.0
3945,0.0,,,,0.0,0.0
3955,10.22,,10.86,,10.54,0.3199999999999994
3969,1.0,,,,1.0,0.0
3976,12.0,,7.8,,9.9,2.1
4033,8.87,,,,8.87,0.0
4039,0.0,,,,0.0,0.0
4054,10.16,,,,10.16,0.0
4062,10.74,0.0,,,5.37,5.37
4080,10.0,,,,10.0,0.0
4089,9.34,,,,9.34,0.0
4095,0.0,,,,0.0,0.0
4132,1.0,,0.0,,0.5,0.5
4167,0.0,,,,0.0,0.0
4184,1.0,,,,1.0,0.0
4185,1.0,,,,1.0,0.0
4241,7.68,,,,7.68,0.0
4279,0.0,,,,0.0,0.0
4289,0.0,,,6.64,3.32,3.32
4290,6.0,,,,6.0,0.0
