,liq_100,liq_101,liq_102,liq_103
501,8.0,3.0,9.0,3.0
502,9.0,3.0,10.0,6.0
503,10.0,4.0,11.0,8.0
504,12.0,4.0,11.0,9.0
505,12.0,6.0,11.0,12.0
506,16.0,6.0,13.0,13.0
507,16.0,6.0,13.0,13.0
508,16.0,6.0,14.0,15.0
509,16.0,6.0,15.0,17.0
510,17.0,8.0,17.0,17.0
511,12.0,6.0,11.0,16.0
512,9.0,6.0,11.0,15.0
513,8.0,7.0,12.0,15.0
514,7.0,5.0,11.0,14.0
515,6.0,4.0,9.0,12.0
516,5.0,4.0,6.0,11.0
517,6.0,3.0,5.0,9.0
518,3.0,2.0,3.0,7.0
519,2.0,1.0,3.0,7.0
520,2.0,5.0,4.0,6.0
521,4.0,5.0,4.0,4.0
522,5.0,3.0,5.0,5.0
523,7.0,3.0,6.0,5.0
524,8.0,4.0,8.0,6.0
525,8.0,4.0,9.0,6.0
526,8.0,4.0,9.0,6.0
527,9.0,4.0,11.0,7.0
528,9.0,5.0,11.0,7.0
529,11.0,5.0,11.0,7.0
530,12.0,6.0,12.0,8.0
531,14.0,7.0,12.0,8.0
532,17.0,9.0,12.0,8.0
533,17.0,10.0,12.0,9.0
534,17.0,10.0,12.0,10.0
535,12.0,7.0,7.0,9.0
536,10.0,5.0,6.0,6.0
537,10.0,3.0,5.0,5.0
538,9.0,2.0,3.0,6.0
539,10.0,1.0,4.0,5.0
540,8.0,3.0,4.0,4.0
541,9.0,4.0,3.0,3.0
542,8.0,4.0,1.0,4.0
543,5.0,3.0,2.0,4.0
544,4.0,2.0,2.0,4.0
545,4.0,3.0,2.0,3.0
546,4.0,4.0,2.0,3.0
547,4.0,4.0,5.0,3.0
548,5.0,5.0,5.0,4.0
549,6.0,5.0,6.0,5.0
550,7.0,5.0,7.0,5.0
551,9.0,7.0,7.0,5.0
552,9.0,9.0,7.0,5.0
553,11.0,11.0,8.0,7.0
554,11.0,12.0,8.0,8.0
555,11.0,15.0,8.0,9.0
556,12.0,17.0,8.0,9.0
557,15.0,18.0,10.0,10.0
558,16.0,19.0,10.0,12.0
559,11.0,14.0,8.0,7.0
560,9.0,11.0,5.0,6.0
561,13.0,10.0,5.0,5.0
562,13.0,9.0,6.0,5.0
563,11.0,11.0,6.0,4.0
564,9.0,10.0,5.0,5.0
565,9.0,7.0,3.0,6.0
566,6.0,4.0,2.0,4.0
567,5.0,2.0,2.0,2.0
568,5.0,3.0,2.0,2.0
569,3.0,2.0,1.0,1.0
570,4.0,2.0,1.0,1.0
571,6.0,3.0,4.0,1.0
572,6.0,4.0,4.0,2.0
573,6.0,5.0,4.0,2.0
574,7.0,6.0,4.0,4.0
575,11.0,7.0,4.0,5.0
576,12.0,8.0,5.0,5.0
577,12.0,9.0,7.0,5.0
578,12.0,12.0,8.0,5.0
579,13.0,12.0,9.0,7.0
580,14.0,14.0,10.0,7.0
581,14.0,15.0,10.0,8.0
582,14.0,15.0,11.0,8.0
583,11.0,11.0,9.0,5.0
584,7.0,13.0,7.0,2.0
585,7.0,13.0,9.0,3.0
586,9.0,12.0,9.0,4.0
587,9.0,12.0,7.0,5.0
588,7.0,11.0,6.0,3.0
589,5.0,13.0,4.0,2.0
590,2.0,10.0,3.0,2.0
591,2.0,7.0,3.0,1.0
592,1.0,8.0,3.0,2.0
593,2.0,7.0,3.0,3.0
594,4.0,5.0,3.0,3.0
595,4.0,6.0,6.0,3.0
596,6.0,6.0,9.0,3.0
597,7.0,7.0,9.0,3.0
598,8.0,8.0,9.0,4.0
599,11.0,8.0,13.0,5.0
600,11.0,11.0,14.0,5.0
601,13.0,11.0,15.0,5.0
602,13.0,12.0,16.0,6.0
603,14.0,12.0,16.0,6.0
604,16.0,13.0,17.0,8.0
605,16.0,15.0,18.0,9.0
606,18.0,16.0,20.0,10.0
607,14.0,14.0,17.0,11.0
608,12.0,13.0,15.0,10.0
609,11.0,12.0,14.0,8.0
610,10.0,10.0,15.0,6.0
611,8.0,10.0,12.0,7.0
612,7.0,9.0,9.0,9.0
613,7.0,10.0,6.0,5.0
614,5.0,8.0,5.0,2.0
615,5.0,6.0,9.0,2.0
616,5.0,6.0,13.0,2.0
617,5.0,6.0,13.0,3.0
618,4.0,6.0,9.0,1.0
619,5.0,7.0,9.0,2.0
620,5.0,9.0,9.0,2.0
621,8.0,9.0,11.0,3.0
622,8.0,10.0,12.0,3.0
623,8.0,13.0,13.0,4.0
624,9.0,14.0,13.0,5.0
625,9.0,14.0,13.0,5.0
626,9.0,16.0,13.0,9.0
627,10.0,16.0,13.0,9.0
628,11.0,17.0,15.0,10.0
629,13.0,19.0,16.0,10.0
630,15.0,21.0,17.0,10.0
631,12.0,18.0,13.0,9.0
632,10.0,17.0,10.0,7.0
633,9.0,16.0,7.0,5.0
634,8.0,16.0,7.0,5.0
635,9.0,16.0,5.0,4.0
636,8.0,16.0,6.0,6.0
637,10.0,14.0,6.0,4.0
638,11.0,12.0,6.0,2.0
639,9.0,11.0,6.0,2.0
640,4.0,10.0,6.0,2.0
641,1.0,8.0,6.0,1.0
642,0.0,8.0,5.0,1.0
643,0.0,9.0,6.0,1.0
644,1.0,11.0,7.0,2.0
645,2.0,13.0,8.0,4.0
646,3.0,13.0,8.0,8.0
647,3.0,14.0,9.0,9.0
648,4.0,14.0,9.0,10.0
649,4.0,15.0,10.0,10.0
650,5.0,15.0,10.0,10.0
651,6.0,16.0,10.0,11.0
652,7.0,16.0,11.0,11.0
653,8.0,16.0,11.0,12.0
654,8.0,17.0,14.0,13.0
655,7.0,15.0,11.0,10.0
656,5.0,14.0,9.0,9.0
657,5.0,13.0,7.0,8.0
658,4.0,13.0,6.0,6.0
659,6.0,10.0,5.0,7.0
660,5.0,9.0,5.0,11.0
661,4.0,6.0,3.0,10.0
662,2.0,6.0,4.0,8.0
663,2.0,5.0,6.0,6.0
664,1.0,6.0,5.0,8.0
665,0.0,5.0,4.0,7.0
666,4.0,6.0,1.0,6.0
667,5.0,6.0,1.0,7.0
668,6.0,6.0,1.0,9.0
669,7.0,7.0,3.0,10.0
670,8.0,9.0,3.0,11.0
671,9.0,12.0,3.0,12.0
672,9.0,14.0,5.0,13.0
673,9.0,15.0,6.0,14.0
674,10.0,15.0,8.0,14.0
675,11.0,16.0,8.0,15.0
676,13.0,17.0,9.0,15.0
677,15.0,18.0,9.0,16.0
678,15.0,20.0,11.0,19.0
679,13.0,16.0,9.0,14.0
680,11.0,13.0,9.0,13.0
681,8.0,12.0,10.0,13.0
682,7.0,12.0,11.0,12.0
683,7.0,11.0,9.0,11.0
684,6.0,8.0,7.0,13.0
685,6.0,5.0,5.0,9.0
