,channel_100,channel_101,channel_102,channel_103
739,7,5,2,7
740,4,2,5,9
741,0,1,2,7
742,0,0,1,3
743,0,0,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,8,8,11,7
754,5,6,10,8
755,4,3,7,6
756,3,4,8,4
757,2,5,6,6
758,1,5,7,8
759,1,6,6,6
760,5,3,7,8
761,4,2,7,10
762,2,3,4,8
763,1,4,3,4
764,1,3,4,6
765,0,1,1,1
766,0,0,0,1
767,0,0,0,0
768,0,0,0,0
769,0,0,0,0
770,0,0,0,0
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0
774,0,0,0,0
775,0,0,0,0
776,0,0,0,0
777,7,7,8,7
778,3,10,11,6
779,3,8,10,6
780,7,6,6,4
781,7,3,5,2
782,4,4,6,6
783,1,5,7,3
784,4,4,2,4
785,4,3,3,4
786,6,5,5,4
787,8,7,3,4
788,5,4,3,3
789,1,2,0,2
790,0,0,0,1
791,0,0,0,0
792,0,0,0,0
793,0,0,0,0
794,0,0,0,0
795,0,0,0,0
796,0,0,0,0
797,0,0,0,0
798,0,0,0,0
799,0,0,0,0
800,0,0,0,0
801,10,11,13,7
802,11,9,6,4
803,9,5,2,4
804,4,7,2,2
805,5,10,3,4
806,4,9,11,6
807,5,6,8,5
808,4,6,6,9
809,7,7,4,7
810,5,4,2,5
811,5,3,5,7
812,4,5,2,12
813,1,2,1,7
814,0,1,0,0
815,1,0,0,0
816,0,0,0,0
817,0,0,0,0
818,0,0,0,0
819,0,0,0,0
820,0,0,0,0
821,0,0,0,0
822,0,0,0,0
823,0,0,0,0
824,0,0,0,0
825,13,7,8,8
826,8,9,9,6
827,10,8,7,4
828,8,2,3,1
829,5,4,5,7
830,5,6,6,9
831,6,2,6,8
832,5,4,4,4
833,4,7,5,3
834,2,6,4,7
835,7,2,5,6
836,6,2,5,6
837,2,1,0,3
838,0,1,0,0
839,0,0,1,0
840,0,0,0,0
841,0,0,0,0
842,0,0,0,0
843,0,0,0,0
844,0,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,0,0,0,0
849,7,6,7,6
850,5,3,6,6
851,2,3,5,5
852,4,2,4,2
853,6,3,3,6
854,2,3,6,4
855,4,3,6,3
856,2,4,1,4
857,5,2,6,6
858,4,2,2,7
859,2,4,1,7
860,2,3,2,4
861,0,1,2,3
862,0,0,1,0
863,0,0,0,0
864,0,0,0,0
865,0,0,1,0
866,0,0,0,0
867,0,0,0,0
868,0,0,0,0
869,0,0,0,0
870,0,0,0,0
871,0,0,0,0
872,0,0,0,0
873,5,7,6,9
874,8,8,4,9
875,6,9,6,5
876,6,6,4,6
877,4,7,3,6
878,4,8,5,8
879,4,5,9,6
880,4,4,7,7
881,6,6,7,5
882,5,4,2,5
883,6,2,6,5
884,5,4,4,9
885,2,4,1,3
886,1,1,0,1
887,0,0,0,0
888,0,0,1,0
889,0,0,0,0
890,0,0,0,0
891,0,0,0,0
892,0,0,0,0
893,0,0,0,0
894,0,0,0,0
895,0,0,0,0
896,0,0,0,0
897,10,11,7,8
898,6,11,5,5
899,8,8,3,3
900,3,3,4,6
901,5,3,3,7
902,6,6,3,7
903,2,8,5,6
904,3,5,6,5
905,6,3,7,4
906,9,3,3,3
907,6,4,4,2
908,4,3,3,3
909,2,1,0,2
910,1,1,0,0
911,0,0,0,0
912,0,0,0,0
913,0,0,0,0
914,0,0,0,0
915,0,0,0,0
916,0,0,0,0
917,0,0,0,0
