,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
4924,8.92,,,8.0,8.46,0.45999999999999996
4925,9.26,,,7.0,8.129999999999999,1.13
4928,2.0,0.0,,,1.0,1.0
4935,2.0,,,,2.0,0.0
4938,1.0,,,,1.0,0.0
4941,0.0,,,,0.0,0.0
4945,0.0,,,,0.0,0.0
4954,11.0,,,,11.0,0.0
4958,11.3,,,10.04,10.67,0.6300000000000008
4962,8.3,,,0.0,4.15,4.15
4965,9.54,,12.0,,10.77,1.2300000000000004
4969,8.030000000000001,,,,8.030000000000001,0.0
4974,3.41,,,,3.41,0.0
4975,16.2,,,,16.2,0.0
4995,7.8,,1.0,,4.4,3.4
4999,0.0,,,,0.0,0.0
5013,0.0,,10.24,,5.12,5.12
5020,10.81,,,,10.81,0.0
5027,9.66,,,,9.66,0.0
5028,9.45,,,,9.45,0.0
5035,0.0,,10.0,,5.0,5.0
5048,14.0,,9.18,,11.59,2.41
5050,12.0,,,,12.0,0.0
5054,13.0,,,,13.0,0.0
5059,9.65,,,,9.65,0.0
5078,0.0,,,,0.0,0.0
5084,10.0,13.39,,6.14,9.843333333333334,2.961872530830605
5100,0.0,,11.0,,5.5,5.5
5108,0.0,,,,0.0,0.0
5110,1.0,,,1.0,1.0,0.0
5142,3.0,,,0.0,1.5,1.5
5148,0.0,,,,0.0,0.0
5152,12.0,21.84,,5.0,12.946666666666667,6.907413087079385
5160,9.0,,,,9.0,0.0
5176,0.0,10.41,,,5.205,5.205
5188,10.0,0.0,0.0,,3.3333333333333335,4.714045207910316
5197,9.92,,,,9.92,0.0
5200,0.0,12.0,,0.0,4.0,5.656854249492381
5202,1.0,,6.69,,3.845,2.845
5205,0.0,,,12.0,6.0,6.0
5214,4.0,,0.0,,2.0,2.0
5229,0.0,,,,0.0,0.0
5244,11.0,,,,11.0,0.0
5249,9.19,0.0,,,4.595,4.595
5267,0.0,,,,0.0,0.0
5270,0.0,9.0,,,4.5,4.5
5280,13.0,,,,13.0,0.0
5282,9.0,,,,9.0,0.0
5290,8.65,,,,8.65,0.0
5300,3.0,,,,3.0,0.0
5311,0.0,,,,0.0,0.0
5315,11.0,,,,11.0,0.0
5319,10.0,0.0,,,5.0,5.0
5339,0.0,,,,0.0,0.0
5349,10.0,,,,10.0,0.0
5362,10.51,5.89,,,8.2,2.31
5372,1.0,,,,1.0,0.0
5374,0.0,,,,0.0,0.0
5378,13.0,,,0.0,6.5,6.5
5379,10.0,,,,10.0,0.0
5381,10.0,,0.0,,5.0,5.0
5388,6.13,,,,6.13,0.0
5390,0.0,,,,0.0,0.0
5395,0.0,,,,0.0,0.0
5399,11.0,1.0,,,6.0,5.0
5400,9.0,,5.22,6.56,6.926666666666666,1.5648074073898752
5402,7.0,,,,7.0,0.0
5415,0.0,11.0,,,5.5,5.5
5425,10.0,,,,10.0,0.0
5426,9.0,,,,9.0,0.0
5433,9.99,,,,9.99,0.0
5441,0.0,,,,0.0,0.0
5452,11.0,,,,11.0,0.0
5455,10.0,,,,10.0,0.0
5471,11.02,,,,11.02,0.0
5483,0.0,,,1.0,0.5,0.5
5484,0.0,,,,0.0,0.0
5487,12.0,,,,12.0,0.0
5489,7.0,,,1.0,4.0,3.0
5498,9.01,,,,9.01,0.0
5508,0.0,,,,0.0,0.0
5509,1.0,,,,1.0,0.0
5511,0.0,,,24.59,12.295,12.295
