,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1301,12.0,22.86,,10.0,14.953333333333333,5.650164206070081
1303,10.0,2.0,23.76,9.0,11.190000000000001,7.884687691976139
1304,9.0,0.0,0.0,8.0,4.25,4.264680527307995
1305,10.0,0.0,,,5.0,5.0
1306,10.0,2.0,1.0,8.34,5.335,3.8957252213163085
1307,9.0,0.0,0.0,10.48,4.87,4.89803021632166
1309,8.0,0.0,,,4.0,4.0
1310,9.0,0.17,,9.42,6.196666666666666,4.264944965126227
1311,10.0,0.0,0.0,,3.3333333333333335,4.714045207910316
1313,6.0,0.0,0.0,0.0,1.5,2.598076211353316
1314,8.96,1.0,0.0,,3.3200000000000003,4.008923379994518
1315,8.94,0.0,14.0,,7.646666666666666,5.788179525742288
1316,9.55,13.0,14.0,0.0,9.1375,5.5278131978206355
1317,9.01,10.0,0.0,,6.336666666666666,4.4988912214258105
1318,10.13,5.0,0.0,1.0,4.032500000000001,3.986623728168988
1319,8.65,,0.0,0.0,2.8833333333333333,4.077649104842425
1320,8.45,5.0,,0.0,4.483333333333333,3.4689896063391266
1321,7.62,,,0.0,3.81,3.81
1322,8.68,8.06,14.0,0.0,7.6850000000000005,5.001727201677436
1323,7.56,,13.0,,10.28,2.72
1324,7.55,,13.0,0.0,6.8500000000000005,5.330259530892156
1325,8.35,11.93,14.0,13.0,11.82,2.1329439748854164
1326,8.79,,9.0,11.0,9.596666666666666,0.9960031236006355
1327,10.3,0.0,9.0,,6.433333333333334,4.579907810814051
1328,8.34,4.0,9.0,11.0,8.085,2.5537570362115503
1330,1.0,0.0,11.99,11.0,5.9975000000000005,5.519965466377484
1331,1.0,13.0,12.39,,8.796666666666667,5.518697511390004
1332,1.0,,11.38,11.0,7.793333333333334,4.806116473365535
1333,17.64,7.0,11.56,10.0,11.55,3.879213837880042
1334,19.12,7.0,13.48,10.0,12.4,4.506794869971341
1335,1.0,6.0,,8.0,5.0,2.943920288775949
1336,1.78,,13.68,9.0,8.153333333333334,4.894904379953595
1338,14.31,4.0,11.59,11.0,10.225000000000001,3.8046583289436122
1339,13.4,4.0,23.72,8.0,12.28,7.3994053815154635
1341,12.0,,22.13,8.28,14.136666666666665,5.852613850997594
1343,11.08,3.0,0.0,8.81,5.7225,4.427032725200933
1344,12.0,,,8.27,10.135,1.8650000000000002
1345,11.0,3.0,0.0,8.99,5.7475000000000005,4.4352304055144645
1346,12.0,,0.0,23.21,11.736666666666666,9.477272228277972
1347,12.0,2.0,,8.27,7.423333333333333,4.126146978585335
1348,9.0,3.0,2.47,0.0,3.6175,3.307403626713861
1350,4.0,1.0,0.0,,1.6666666666666667,1.699673171197595
1351,5.0,2.49,,0.0,2.4966666666666666,2.0412468956225966
1352,5.0,3.28,1.0,,3.0933333333333333,1.6383189216049752
1353,4.0,3.41,15.36,1.0,5.9425,5.552127407579909
1355,4.0,2.65,13.43,12.0,8.02,4.7462037461533395
1356,4.0,3.35,,10.0,5.783333333333334,2.9934187070230514
1357,3.0,2.41,13.33,,6.246666666666667,5.014461309275625
1358,3.0,,,9.0,6.0,3.0
1359,1.0,0.0,15.48,,5.493333333333333,7.073430725059957
1360,0.0,0.0,12.63,7.0,4.907500000000001,5.295816155230467
1362,1.0,,23.14,,12.07,11.07
1363,4.0,0.0,,9.09,4.363333333333333,3.7198596150332817
