,all_100,all_101,all_102,all_103
388,20.0,13.0,15.0,22.0
389,23.0,15.0,15.0,22.0
390,24.0,17.0,17.0,26.0
391,20.0,16.0,14.0,21.0
392,18.0,16.0,13.0,17.0
393,16.0,17.0,12.0,17.0
394,19.0,13.0,12.0,16.0
395,17.0,17.0,13.0,16.0
396,14.0,18.0,9.0,14.0
397,13.0,15.0,8.0,13.0
398,11.0,14.0,6.0,11.0
399,8.0,14.0,4.0,10.0
400,7.0,12.0,5.0,11.0
401,4.0,7.0,3.0,8.0
402,1.0,4.0,3.0,8.0
403,2.0,5.0,5.0,8.0
404,5.0,7.0,6.0,8.0
405,6.0,7.0,6.0,9.0
406,7.0,9.0,8.0,9.0
407,9.0,10.0,9.0,11.0
408,11.0,12.0,12.0,12.0
409,13.0,13.0,13.0,12.0
410,14.0,15.0,14.0,12.0
411,14.0,15.0,15.0,15.0
412,14.0,16.0,17.0,16.0
413,17.0,17.0,18.0,16.0
414,19.0,17.0,19.0,18.0
415,14.0,13.0,19.0,13.0
416,15.0,11.0,17.0,10.0
417,15.0,11.0,18.0,10.0
418,15.0,13.0,21.0,10.0
419,11.0,11.0,21.0,11.0
420,12.0,10.0,18.0,10.0
421,11.0,8.0,13.0,6.0
422,8.0,6.0,9.0,6.0
423,4.0,6.0,11.0,4.0
424,1.0,6.0,6.0,3.0
425,2.0,7.0,6.0,4.0
426,4.0,5.0,4.0,2.0
427,5.0,5.0,6.0,4.0
428,8.0,5.0,6.0,7.0
429,10.0,5.0,9.0,9.0
430,10.0,5.0,11.0,11.0
431,15.0,5.0,12.0,10.0
432,16.0,7.0,14.0,12.0
433,16.0,8.0,14.0,13.0
434,18.0,9.0,14.0,15.0
435,21.0,11.0,14.0,16.0
436,23.0,13.0,17.0,19.0
437,25.0,13.0,17.0,19.0
438,26.0,15.0,19.0,21.0
439,21.0,11.0,14.0,17.0
440,17.0,12.0,12.0,16.0
441,16.0,11.0,14.0,13.0
442,14.0,9.0,14.0,13.0
443,16.0,10.0,12.0,14.0
444,12.0,9.0,8.0,15.0
445,10.0,5.0,5.0,13.0
446,8.0,4.0,5.0,9.0
447,6.0,4.0,5.0,5.0
448,5.0,4.0,3.0,4.0
449,4.0,5.0,3.0,4.0
